iter	Passed	Remaining
398	133551	67277
399	133878	66939
400	134190	66593
401	134520	66256
402	134822	65905
403	135151	65568
404	135479	65230
405	135788	64884
406	136144	64559
407	136475	64223
408	136797	63883
409	137130	63548
410	137500	63230
411	137841	62898
412	138187	62568
413	138513	62230
414	138826	61886
415	139147	61545
416	139472	61207
417	139783	60862
418	140108	60523
419	140420	60180
420	140760	59848
421	141089	59511
422	141409	59171
423	141732	58832
424	142035	58485
425	142401	58164
426	142752	57836
427	143075	57497
428	143397	57158
429	143716	56818
430	144047	56482
431	144367	56142
432	144712	55812
433	145038	55475
434	145383	55145
435	145739	54819
436	146093	54492
437	146437	54161
438	146768	53826
439	147097	53489
440	147411	53148
441	147730	52808
442	148046	52467
443	148380	52133
444	148705	51796
445	149017	51454
446	149381	51130
447	149698	50790
448	150028	50454
449	150342	50114
450	150661	49775
451	150979	49435
452	151312	49101
453	151646	48767
454	152039	48452
455	152394	48124
456	152731	47791
457	153056	47454
458	153386	47118
459	153722	46784
460	154046	46447
461	154397	46118
462	154737	45786
463	155041	45443
464	155367	45106
465	155722	44778
466	156040	44439
467	156375	44105
468	156712	43772
469	157016	43430
470	157347	43095
471	157663	42756
472	158019	42428
473	158368	42097
474	158678	41757
475	159032	41428
476	159363	41093
477	159671	40753
478	159995	40416
479	160309	40077
480	160646	39744
481	160983	39410
482	161284	39068
483	161620	38735
484	161955	38401
485	162267	38062
486	162624	37734
487	162965	37401
488	163306	37069
489	163647	36737
490	163971	36400
491	164296	36065
492	164646	35734
493	164998	35404
494	165339	35072
495	165680	34739
496	166003	34403
497	166346	34070
498	166697	33740
499	167027	33405
500	167466	33092
501	167833	32764
502	168187	32433
503	168521	32099
504	168842	31762
505	169155	31424
506	169500	31091
507	169820	30754
508	170170	30423
509	170518	30091
510	170825	29752
511	171147	29416
512	171448	29075
513	171770	28739
514	172092	28403
515	172436	28071
516	172759	27735
517	173075	27398
518	173401	27062
519	173705	26723
520	174040	26390
521	174381	26057
522	174693	25719
523	175026	25385
524	175364	25052
525	175676	24714
526	175999	24379
527	176330	24045
528	176680	23713
529	176993	23376
530	177317	23041
531	177624	22703
532	177964	22370
533	178306	22037
534	178621	21701
535	178944	21366
536	179279	21032
537	179594	20696
538	179927	20362
539	180262	20029
540	180575	19693
541	180938	19362
542	181306	19032
543	181639	18698
544	181963	18363
545	182331	18032
546	182676	17699
547	182986	17363
548	183296	17027
549	183633	16693
550	183980	16361
551	184314	16027
552	184690	15697
553	185045	15364
554	185361	15029
555	185694	14695
556	186019	14360
557	186339	14025
558	186665	13691
559	187003	13357
560	187334	13023
561	187673	12689
562	187988	12354
563	188316	12020
564	188639	11685
565	188954	11350
566	189288	11016
567	189611	10682
568	189904	10346
569	190220	10011
570	190533	9676
571	190837	9341
572	191160	9007
573	191465	8672
574	191783	8338
575	192109	8004
576	192430	7670
577	192738	7336
578	193038	7001
579	193358	6667
580	193677	6333
581	193990	5999
582	194320	5666
583	194646	5332
584	194976	4999
585	195353	4667
586	195711	4334
587	196026	4000
588	196343	3666
589	196664	3333
590	197001	3000
591	197327	2666
592	197645	2333
593	197954	1999
594	198280	1666
595	198611	1332
596	198948	999
597	199281	666
598	199627	333
599	199941	0
