iter	MultiRMSE
156	0.3844035683
157	0.3828931533
158	0.3820754438
159	0.3808833624
160	0.3803242529
161	0.3790229966
162	0.3779851738
163	0.3766506614
164	0.3760419051
165	0.3750506965
166	0.3744538367
167	0.3734449556
168	0.3725650627
169	0.3719796355
170	0.3711843051
171	0.3703417537
172	0.3693032625
173	0.3672638214
174	0.3659648886
175	0.3651574789
176	0.3641877663
177	0.3629638655
178	0.3619172495
179	0.3607304122
180	0.3597974572
181	0.3587118254
182	0.3572810531
183	0.356133288
184	0.3550024346
185	0.3543979515
186	0.3536869617
187	0.352857631
188	0.3521487869
189	0.3512859721
190	0.3505334861
191	0.3495296145
192	0.348697659
193	0.3479737633
194	0.3470119504
195	0.3462721421
196	0.3450705795
197	0.3437869455
198	0.3430545971
199	0.3417128438
200	0.3409566943
201	0.3399978193
202	0.3393805644
203	0.3387336378
204	0.3380007255
205	0.3376464529
206	0.3367588978
207	0.3360969585
208	0.3355479144
209	0.3341613948
210	0.3335604765
211	0.3322783857
212	0.3313275273
213	0.3305763587
214	0.3296361319
215	0.3290956444
216	0.3285437665
217	0.3276680791
218	0.3265801879
219	0.3258146905
220	0.3247444636
221	0.32416935
222	0.3235181181
223	0.3223462035
224	0.3216561938
225	0.3211471404
226	0.3203634539
227	0.3193288534
228	0.3187526784
229	0.3179352424
230	0.317014633
231	0.3160661698
232	0.3153898967
233	0.3147391738
234	0.3137668664
235	0.3129815333
236	0.3119310516
237	0.3115180811
238	0.3106781295
239	0.3099152922
240	0.3090484063
241	0.3082429435
242	0.3074879344
243	0.3062192594
244	0.3056694911
245	0.3042702419
246	0.3037213573
247	0.3025922462
248	0.3019333158
249	0.3012276361
250	0.3006601492
251	0.2999005634
252	0.2990019706
253	0.2984705616
254	0.2978075368
255	0.2970264213
256	0.2962683325
257	0.2951390208
258	0.2942308166
259	0.2936997745
260	0.2927606205
261	0.2922324525
262	0.2913183065
263	0.2908516515
264	0.2900958494
265	0.2894869846
266	0.2888286139
267	0.2882192351
268	0.2878918337
269	0.2873772833
270	0.2870145639
271	0.2862614268
272	0.2854765921
273	0.2850862143
274	0.2844099675
275	0.2835498889
276	0.2826654438
277	0.2818184077
278	0.2810468625
279	0.279982295
280	0.2792993699
281	0.278532708
282	0.2779575943
283	0.2774505
284	0.2761960472
285	0.2754821317
286	0.2748067798
287	0.2741574007
288	0.2735614359
289	0.2730504561
290	0.2723032136
291	0.2717112268
292	0.270925111
293	0.2704280423
294	0.2700429851
295	0.2696026597
296	0.2691384816
297	0.2683600994
298	0.2676813811
299	0.267062653
300	0.2666525628
301	0.2661354309
302	0.2656372641
303	0.2649537443
304	0.2643502086
305	0.2638354323
306	0.2634863519
307	0.2629403381
308	0.2622912954
309	0.2616098029
310	0.2608866774
311	0.2601314455
312	0.2593230236
313	0.2587678377
314	0.2583758862
315	0.2579572131
316	0.2573502701
317	0.2566370148
318	0.2559912664
319	0.255491831
320	0.254929308
321	0.2541735112
322	0.2535511893
323	0.2530785141
324	0.2523228605
325	0.2520101566
326	0.2515141776
327	0.25117192
328	0.250251997
329	0.2499982258
330	0.2495394398
331	0.2490569646
332	0.2482153934
333	0.2473155251
334	0.2466281436
335	0.2462805767
336	0.2456566888
337	0.2450367723
338	0.244496512
339	0.2441430029
340	0.2437100352
341	0.243275637
342	0.2428282885
343	0.2424539067
344	0.2419720924
345	0.2416138382
346	0.2410065112
347	0.2406488067
348	0.2402358648
349	0.2399417515
350	0.2392056018
351	0.2387194501
352	0.2382007008
353	0.2378925203
354	0.2371285066
355	0.236552629
356	0.2360077859
357	0.2354915878
358	0.2348805298
359	0.2343932179
360	0.2337738333
361	0.2331853963
362	0.2327194338
363	0.2323666883
364	0.2320209815
365	0.2315849516
366	0.2311492314
367	0.2305710069
368	0.2302481589
369	0.229674516
370	0.2290696467
371	0.2284993455
372	0.2282315893
373	0.2276348397
374	0.2272892188
375	0.2269201659
376	0.2263070408
377	0.2257684751
378	0.2254465066
379	0.2252230703
380	0.2247952801
381	0.2245598049
382	0.2239381505
383	0.2231706171
384	0.222881082
385	0.2220962928
386	0.2216572321
387	0.2211907315
388	0.2207521676
389	0.2203013087
390	0.2198595195
391	0.2194615537
392	0.2189989693
393	0.2186216217
394	0.2183142634
395	0.2175631766
396	0.2173747611
397	0.2167182651
398	0.2162992999
399	0.2158875885
400	0.2155856119
401	0.2150046969
402	0.2146376889
403	0.2142776355
404	0.2139968696
405	0.2134394897
406	0.2129078594
407	0.2124542768
408	0.2120533013
409	0.2117625841
410	0.2111841547
411	0.21079422
412	0.2106205762
413	0.2104106903
414	0.210107346
415	0.2096856513
416	0.2092491937
417	0.2086728144
418	0.2081972575
419	0.2078333431
420	0.2072984289
421	0.2069345455
422	0.2063635254
423	0.2060544536
424	0.205748418
425	0.2052771813
426	0.2049324069
427	0.2044111713
428	0.2039037858
429	0.2032861653
430	0.2029671744
431	0.2025859583
432	0.2022664841
433	0.2020255314
434	0.2017265438
435	0.201197958
436	0.2006202567
437	0.2003459709
438	0.1999922051
439	0.1996798963
440	0.1990149667
441	0.1985715138
442	0.1980737566
443	0.1976310389
444	0.1974505162
445	0.1972241632
446	0.196626658
447	0.1962513275
448	0.1960765762
449	0.1956717329
450	0.1950830329
451	0.194873938
452	0.1946740686
453	0.1943505237
454	0.1941599792
455	0.1936123269
456	0.1931236712
457	0.1927496559
458	0.1924285591
459	0.1921344945
460	0.1918331607
461	0.1914869602
462	0.1912976659
463	0.1909863346
464	0.1905708149
465	0.1900925264
466	0.1896814944
467	0.1893442932
468	0.1886849843
469	0.1883310178
470	0.1876285792
471	0.1873674817
472	0.1871505272
473	0.1867887105
474	0.1865796857
475	0.1861524767
476	0.1858471324
477	0.1854383633
478	0.1852240534
479	0.1849435618
480	0.1846345796
481	0.1844772247
482	0.1841982125
483	0.1840075403
484	0.1835085373
485	0.18320514
486	0.1829072198
487	0.1825501735
488	0.1822991884
489	0.1819371764
490	0.1815224019
491	0.1811568365
492	0.1808653124
493	0.1804127508
494	0.1800036122
495	0.1796493559
496	0.1791492639
497	0.1786673627
498	0.1782819831
499	0.1778323466
500	0.1776094435
501	0.1772237379
502	0.1769450873
503	0.1767393506
504	0.1763681927
505	0.176015619
506	0.1756501492
507	0.1752808277
508	0.1748496502
509	0.1744882218
510	0.1741380465
511	0.173898289
512	0.1736668993
513	0.1732966622
514	0.1730151992
515	0.1727596558
516	0.1724329442
517	0.1720531623
518	0.1717310564
519	0.1715691855
520	0.1713754084
521	0.1711122869
522	0.1708094038
523	0.1704803444
524	0.170086533
525	0.1697026859
526	0.1694592314
527	0.1691372459
528	0.1687858021
529	0.168556955
530	0.1682981268
531	0.1679853023
532	0.1677518615
533	0.1675534802
534	0.1673196011
535	0.1670949367
536	0.1667567267
537	0.1665171922
538	0.1664046534
539	0.1661557619
540	0.1659554357
541	0.1657022134
542	0.1654794844
543	0.1650870223
544	0.1648740841
545	0.1647366763
546	0.1645715787
547	0.1642809059
548	0.1639438009
549	0.1637295078
550	0.1634457257
551	0.1631887936
552	0.1629727424
553	0.1627066059
554	0.1623252875
555	0.1620344418
556	0.161658965
557	0.1613018253
558	0.1610835806
559	0.1608090839
560	0.1606032655
561	0.160432538
562	0.1602642328
563	0.1599939958
564	0.1597061549
565	0.1593847152
566	0.1590876753
567	0.1589385736
568	0.1587702419
569	0.1583142463
570	0.1579953122
571	0.1576774369
572	0.1573599711
573	0.1570982773
574	0.1568627858
575	0.1566896239
576	0.1564667153
577	0.156131773
578	0.1558162959
579	0.1555291996
580	0.1552030749
581	0.1549573317
582	0.1546877277
583	0.15458903
584	0.1542351567
585	0.154075278
586	0.1538346152
587	0.153478163
588	0.1531768489
589	0.1528044272
590	0.1524934536
591	0.1520401725
592	0.151880488
593	0.1515471582
594	0.1514206229
595	0.1511962889
596	0.1509346707
597	0.1507411626
598	0.1505456548
599	0.1500447944
